id,system_id,title,author,price,mrp_price,stock,main_cover,gallery_count
1744,kVzhXn7y0PV2QyhzYi2W,Al Moalijat Buqratia Vol.1,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1745,KmTKcrWMKY4lUKLxF5wo,Al Moalijat Buqratia Vol.2,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1746,uRXxgNlkx0oNMJ59oyuJ,Al Moalijat Buqratia Vol.3,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1754,RLVtRjrM3y3wNuCbh9CA,Amraz Atfal,Hkm. Md. Mehmood Ansari,0.00,0.00,10,,0
1786,Waq9dwZcmnrHVG3mKD5Y,Biyaze Firoozi,Hkm. Firoozuddin Lahori,0.00,0.00,10,,0
1788,FKmhldwxsfcLBLqDRr4J,Biyaze Hijazi,Hkm. Md. Rafeeq Hijazi,0.00,0.00,10,books/covers/1_dxmtid_ng4vbj,2
1870,J5PwCUS72XHBllaodEWD,Ilmul Advia Ki Do Taqseem,Hkm. Md. Kabiruddin,0.00,0.00,10,,0
1876,Cl0ZMIVCoJ8KsN3R9OTq,Ilmul Jarahat,Abdul Irfan,0.00,0.00,10,books/covers/1_vcmeez_j5srvb,2
1877,o6DmQ8WBARiC1RPSfWXK,Ilmul Mufredat,Prof. Nisaar Ahmad,0.00,0.00,10,,0
1881,03Pzz8KFPDy6eaoNV0Nx,Ilmul Wiladat Ilmul Qabla,Dr. Saleem Khan,0.00,0.00,10,books/covers/1_jhritm_qrztiu,2
1896,RSagIZez7NPDfHk8Se3g,Jarahiyate Zahrawi,Abul Qasim Zahrawi,0.00,0.00,10,,0
1914,OVeBT8sYkQlRuLmHm4mg,Khairul Tajarib,Hkm. Khair Andesh Khan,0.00,0.00,10,books/covers/1_yljb1i,2
1924,lNy5DIFH9EcCp14pUO9c,Kitab Tashkeesh Amraz Mukammal,Dr. Fazal Karim,0.00,0.00,10,books/covers/1_xrvnt6,2
