id,system_id,title,author,price,mrp_price,stock,main_cover,gallery_count
1720,0sS2HeawX9BWGI1SlemX,2025 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,80.00,100.00,10,,0
1730,3Pu8BodemfMJFXHOuJKO,Afzal Mufredat Vol.1-4,Syed Asad Hussain / Syed Afzal Hussain,2240.00,2800.00,10,,0
1734,W8n8NfvNPcvmw2i2qiXq,AIAPGET Ke Hal Shuda Sawalat Ma Tohzihat,Dr. Zubair Ansari,480.00,600.00,10,,0
1738,PwaZXCsd6W2a6J5otOIz,Akseeri Nuskhe,Hkm. Habib Ashar,28.00,35.00,10,,0
1744,kVzhXn7y0PV2QyhzYi2W,Al Moalijat Buqratia Vol.1,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1745,KmTKcrWMKY4lUKLxF5wo,Al Moalijat Buqratia Vol.2,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1746,uRXxgNlkx0oNMJ59oyuJ,Al Moalijat Buqratia Vol.3,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1754,RLVtRjrM3y3wNuCbh9CA,Amraz Atfal,Hkm. Md. Mehmood Ansari,0.00,0.00,10,,0
1755,0bZ9lTfuH1xvwynkMkQi,Amraz Wabaya Aur Tibbe Unani,Dr. Md. Abdullah,160.00,200.00,10,,0
1757,ZJ5DXQkNDePMRZZa67md,Amraz-ul-Ain,Hkm. Shafaqat Azmi,120.00,150.00,10,,0
1758,J2taqtAfAOtLLauKeYhn,Amraze Atfal [Paediatrics],Hkm. Md. Yusuf Ansari,280.00,350.00,10,,0
1760,PBBfmIGN78NLR9gdOQUP,Amraze Jild,Dr. Azhar Yasin,200.00,250.00,10,,0
1762,rASAaw0Ah4UtKBFyRm3I,Amraze Niswan,Hkm. Md. Yusuf Ansari,280.00,350.00,10,,0
1764,3WpBIJ11XGM6K3C0JpNg,"Amraze Uzn, Unf Wa Halaq (ENT)",Prof. Dr. Anees Shah,320.00,400.00,10,,0
1765,facyAwnLhHac27KapBQh,Anatomy {Tashreeul Badan} MCQs,Dr. Saleem,400.00,500.00,10,,0
1766,CpuIS83TYKZQIs2xunba,Ancient Pathology,Dr. Hina Tarique,120.00,150.00,10,,0
1769,d7ChBTEzInuRK6FuwwSw,Apna Ilaj Khud Kijiye,Dr. Shaheda,48.00,60.00,10,,0
1770,GR5smhAaXJfIe5f9yKQs,Arabi Aur Mantiq Wa Falsafa MCQs,Dr. Zubair Ansari,80.00,100.00,10,,0
1775,xiOrfPLi8AWkHT7zMcNd,Ba Wasila Mohammd Mushkil Kusha,Md. Ilyas Adil,280.00,350.00,10,,0
1779,SpEsogvIJz8RlRszR8GU,Beauty Care,Farhat Saba,96.00,120.00,10,,0
1782,HBJkP1tGUJTckYchVwdS,Biyaz-e- Masiyaha,Hkm. Mohd Hasan Qarshi,96.00,120.00,10,,0
1783,idhygxwp2X5JrkJjYekE,Biyaz-e-Ajmal,Hkm. Ajmal Khan,160.00,200.00,10,,0
1786,Waq9dwZcmnrHVG3mKD5Y,Biyaze Firoozi,Hkm. Firoozuddin Lahori,0.00,0.00,10,,0
1792,XfhlNQxSrHh1wh6cHNNT,Boron & Boulpeep Medical Physiology,Boron & Boulpeep,9224.00,11530.00,10,,0
1798,stEqQDp3LkCTfjPJRKEC,Communication Skill {Mawasalati Maharat},Dr. Nisar Ahmed,280.00,350.00,10,,0
1802,T4PhN8UDcVvKatGuWBN5,Costanzo Physiology,Costanzo,2760.00,3450.00,10,,0
1807,E8R8OvgUpd6HgDZhDuD0,Dehati Moalij,Hkm. Md. Saeed,240.00,300.00,10,,0
1817,JlbM2Q4NteJ0MIeI1QFo,Ent & Opthamology Scholar Guide MCQs,Dr. Raashid Qazi,320.00,400.00,10,,0
1818,nLRMKmqNfsG1I4vMEZxG,Essential of Medical Physiology,K. Sembulingum,1596.00,1995.00,10,,0
1822,gbGeId0pAUGuVaaqa6kV,Firdous Ul Hikmat,Hkm. Abul Hasan Tabri,280.00,350.00,10,,0
1824,3OqIaq8cRXeLacDqz0wH,Ganjinae Quwat e Bah,Hkm. Yunus Habibi,120.00,150.00,10,,0
1825,llqjLoP2L8cCiJ0W2fjA,Ganong's Review of Medical Physiology,Ganong,1996.00,2495.00,10,,0
1826,QLqEUGGOtzehYOHALf7P,Garb Shashtar,Idara,40.00,50.00,10,,0
1829,3TmzvvLmM5AYXwT8RDgk,General Surgery,Dr. Faheem,160.00,200.00,10,,0
1830,pdpP8nAIqXPAw5w2A86Z,Gray Anatomy For Student: South Asia Edition,Veeramani,3400.00,4250.00,10,,0
1832,NzwiWm6WX164mJh72baE,Gurdoo Ke Amraz,Hkm. Maqsud Ali,80.00,100.00,10,,0
1834,nCxNl5QEmNGhfihMQY3s,Hadees Nabvi Me Phalo Ka Tazkera,Hkm. Wasim Ahmad Azmi,80.00,100.00,10,,0
1835,tYoiZe0dtjnBKeKIbnUK,Hadees Nabvi Me Sabziyo Ka Tazkera,Hkm. Wasim Ahmed Azmi,80.00,100.00,10,,0
1842,xh48Butx94ITzJfups3Z,Haziq Hindi,Hkm. Ajmal Khan,200.00,250.00,10,,0
1844,WtneXfpwSYgkHeC81B0l,Health & Baby Care,Farhat Saba,96.00,120.00,10,,0
1847,pZg93WPitHvedxsUVP12,Hindi Urdu Lughat,Syed Asad Hussain,64.00,80.00,10,,0
1848,bVVlqkMSoc8DSxKgjzWA,Human Anatomy (Tashreehul Badan),Dr. Siddiqur Rahman,640.00,800.00,10,,0
1851,U4qiFG2VJKscYAQ0RJG9,Hutchison Clinical Method,Michael Glynn,1960.00,2450.00,10,,0
1853,ZWBoRz0qmbARD3JwKhqJ,Ibtedae Falsafa Wa Mantiq,Hkm. Hasan Ali,120.00,150.00,10,,0
1861,TIVjFDTSHU1MuuxXWTAm,Ilaj Bil Tadabeer,Dr. Ahmad Raza,640.00,800.00,10,,0
1868,jPDfdpXHeyTkpKiD4Mii,Ilmul Adad Ka Encyclopedia,Syed Zeeshan Nizami,240.00,300.00,10,,0
1870,J5PwCUS72XHBllaodEWD,Ilmul Advia Ki Do Taqseem,Hkm. Md. Kabiruddin,0.00,0.00,10,,0
1874,OCwexCqaHByZieHqyF7o,Ilmul Amraz (Pathology),Dr. Zubair Ansari,200.00,250.00,10,,0
1877,o6DmQ8WBARiC1RPSfWXK,Ilmul Mufredat,Prof. Nisaar Ahmad,0.00,0.00,10,,0
1878,9dkJV5ot56bl4J0QQCfx,Ilmul Saidla,Hkm. Md. Kabiruddin,120.00,150.00,10,,0
1887,oKfPyXMfwaOfhOA2XOie,Introduction of Al Umoore Tabaiyya,Dr. Ishtiyaq Ahmad,320.00,400.00,10,,0
1892,xVRJ53w2fHlIhfiku4hC,Jame-ul-Hikhmat,Hkm. Mohd Hasan Qarshi,1600.00,2000.00,10,,0
1894,PYAIuji0uNPoapori6Q4,Jameul Advia,Abdul  Bari,160.00,200.00,10,,0
1896,RSagIZez7NPDfHk8Se3g,Jarahiyate Zahrawi,Abul Qasim Zahrawi,0.00,0.00,10,,0
1897,dZLa4jYIpFsk7LWxEhZ3,Jaraseem Aur Tibbe Qadeem,Hkm. Md. Kabiruddin,160.00,200.00,10,,0
1902,2PCHdRSI7ZBYXfTx03qU,Jinsi Mohabbat Ke Israr,Idara,40.00,50.00,10,,0
1903,NYZMYlQhzWGStbbYZeGj,Jinsiyaat Ki Pehli Kitab,Hkm. Md. Yusuf,40.00,50.00,10,,0
1906,V2clBG550zwqHq008rf7,Kaloonji Ke Karishmat Hindi,Hkm. Tariq Mehmood Chugtai,32.00,40.00,10,,0
1909,zPafSwoIsk2Bha3Xjx3j,Kanjul Mufredat,Hkm. Abdullah,40.00,50.00,10,,0
1910,hIZOm6gTXitS8Apnb0gr,Kanjul Mujarrebat,Hkm. Mohd Abdullah,480.00,600.00,10,,0
1915,3n3M4rLf3cNjfUj5qz8O,Khawas Ul Advia (Darakhton Aur Phodho Ke Khawas),Hkm. Md.,480.00,600.00,10,,0
1916,IHvVYK9o7ahPwSHZWGQM,Khawas Ul Advia (Phaloo Aur Sabziyon Ke Khawas),Hkm. Md.,320.00,400.00,10,,0
1917,6ILzkROvkfgoo7O4s1zw,Khawateen Do Shijao Ki Mushkile,Dr. Shaheda,96.00,120.00,10,,0
1919,Tm72PmKi43RbBx2Z9PDZ,Khuf Alai,Hkm. Tajuddin,80.00,100.00,10,,0
1920,EdaFddCGuS5uKJU2fkC1,Khush Naweesan-E-Tib Ek Jaizah,Hkm. Wasim Ahmad Azmi,83.20,104.00,10,,0
1923,QYVm7mfohZGDURyxJOZr,Kitab Kuliyat-e-Advia,Hkm. Tahir Mehmood,120.00,150.00,10,,0
1926,WIRtSiDrxja0c7bZ5JRn,Kitab-Ul Nabz,Hkm. Md. Kabiruddin,64.00,80.00,10,,0
1932,U4m37ix99VfRQBsKoIow,"Kitabul Havi Vol.1-15, Vol.17-19 & Vol.21-23",Hkm. Abu Bakar Zikariya Razi,4000.00,5000.00,10,,0
1936,dMHccmht8KxXrs856IUL,Kitabul Mah,Abu Sahel Isa Al Masihi,0.00,0.00,10,,0
1938,zBeLSRsKIWCpuTv5aRy9,"Kitabul Moalijat (Amraz, Jild Wa Mufasil)",Anisur Rehman,0.00,0.00,10,,0
1939,54Ha5QylD8zJThliJOgH,Kitabul Mufredat,Iqbal Ahmad Qasmi,400.00,500.00,10,,0
1943,m4mmOjz4LKrnt9FtSSwl,Kitabul Murakabat,Nafis Ahmad Qasmi,160.00,200.00,10,,0
1946,xKUA1IaYhUE3BHfubwVs,Kitabul Mursheed,Hkm. Abu Bakar Zikariya Razi,80.00,100.00,10,,0
1948,THoNP0i2HAElAfHWRdu0,Kitabul Tadbeer,Arshad Jamal,0.00,0.00,10,,0
1950,ZCdwr1gMQtTd7aJ6CDeb,Kitabul Taklees,Hkm. Md. Kabiruddin,400.00,500.00,10,,0
1962,82M8D4X2xU5aznNYS2Q3,Kulliyate Tehqeqaat Vol.1-2,Sabir Multani,3200.00,4000.00,10,,0
1967,YzPGVaZZAkdRRKZ5pM2Z,Lughat Ul Advia,Hkm. Md. Kabiruddin,240.00,300.00,10,,0
1969,2MWXO8a1AMXrMpKNqCG1,Luqmani Guide,Hkm. Peer Abdul Rahim,240.00,300.00,10,,0
1973,aXr9YCemYCRJH4eZHPCl,Majalis Habibul Ummat,Hkm. Idress Habban,320.00,400.00,10,,0
1975,lTCixg0EoWkZwR75RPG8,Makhzan Ayurved Ghar Ka Waid Ya Hakim,Vaid Krishan Diyaal,0.00,0.00,10,,0
1976,l8BrtYZDYPIovd0WahbT,Makhzan Mufredat Wa Murakkabat,Munshi Gulam Nabi,0.00,0.00,10,,0
1978,KBvpRfO2BcNf9FLGCvf3,Makhzanul Ilaj (Biyaze Jeelani),Hkm. Gulam Jeelani,1600.00,2000.00,10,,0
